ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes,keep_reason
7319861018509,Sun face cream,ACO,face/skincare,NL|SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7319861018509/sun-face-cream-aco,,category=face/skincare
3770022721098,Savon solide L'agrume Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721098/savon-solide-l-agrume-visage-aleyria-cosmetiques,,category=face/skincare
3770022721036,Savon solide Le floral Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721036/savon-solide-le-floral-visage-aleyria-cosmetiques,,category=face/skincare
3770022721050,Savon solide Le fraicheur Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721050/savon-solide-le-fraicheur-visage-aleyria-cosmetiques,,category=face/skincare
3770022721012,Savon solide Le Naturel Visage- Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721012/savon-solide-le-naturel-visage-aleyria-cosmetiques,,category=face/skincare
3770022721074,Savon solide Le Provençal Visage - Aleyria Cosmétiques,Aleyria Cosmétiques,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3770022721074/savon-solide-le-provencal-visage-aleyria-cosmetiques,,category=face/skincare
3760075074227,Spray solaire bébé 100 % naturel* haute protection - 50 sensible,Alphanova Sun,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3760075074227/spray-solaire-bebe-100-naturel-haute-protection-50-sensible-alphanova-sun,,category=face/skincare
7313272135244,Solcreme ansikte SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272135244/solcreme-ansikte-spf-30-apoteket,,category=face/skincare
7313272150896,Solcreme ansikte SPF 50,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272150896/solcreme-ansikte-spf-50-apoteket,,category=face/skincare
7313272153712,Solfluid ansikte,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272153712/solfluid-ansikte-apoteket,,category=face/skincare
7313272135268,Sollotion högt skydd SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272135268/sollotion-hogt-skydd-spf-30-apoteket,,category=face/skincare
7313272139747,Sollotion SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272139747/sollotion-spf-30-apoteket,,category=face/skincare
7313272150940,Solspray SPF 30,apoteket,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7313272150940/solspray-spf-30-apoteket,,category=face/skincare
8436024790016,Gel aloe Vera puro,Atlantia,face/skincare,ES,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8436024790016/gel-aloe-vera-puro-atlantia,,category=face/skincare
3282779316392,Réparateur après-soleil,Avene,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779316392/reparateur-apres-soleil-avene,,category=face/skincare
3282770138801,Avène Tolérance CONTROL Creme,Avène,face/skincare,DE|AT|FR|EU,no,no,yes,,,claim,https://www.eau-thermale-avene.de/p/tolerance-control-creme-3282770138801-0c591b54,Claim: 'Ohne Duftstoffe'; INCI ohne Parfum/Fragrance auf Markenseite; kein NC-Claim gefunden → NC=no,category=face/skincare
3282779002738,Cold Cream - crème,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779002738/cold-cream-creme-avene,,category=face/skincare
3282779059848,Eluage Crème anti-âge restructurant,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779059848/eluage-creme-anti-age-restructurant-avene,,category=face/skincare
3282770073478,Soin lèvres sensibles,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282770073478/soin-levres-sensibles-avene,,category=face/skincare
3282770100402,Trixera,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282770100402/trixera-avene,,category=face/skincare
3282779363815,Très Haute Protection Spray 50+ SPF,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779363815/tres-haute-protection-spray-50-spf-avene,,category=face/skincare
3282779405485,Xeracalm A.D. Baume relipidant,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282779405485/xeracalm-a-d-baume-relipidant-avene,,category=face/skincare
07581365,Ysthéal +,Avène,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/07581365/ystheal-avene,,category=face/skincare
3282770037005,Ysthéal Intense concentré antirides rénovateur de peau,Avène,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3282770037005/ystheal-intense-concentre-antirides-renovateur-de-peau-avene,,category=face/skincare
4005900261038,NIVEA SUN Protect & Sensitive Sun Lotion SPF 30,Beiersdorf,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4005900261038/nivea-sun-protect-sensitive-sun-lotion-spf-30-beiersdorf,,category=face/skincare
4005900127365,Protect & Sensitive 50,Beiersdorf,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4005900127365/protect-sensitive-50-beiersdorf,,category=face/skincare
8480010207170,Natural Crema de Manos,Belle,face/skincare,ES,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8480010207170/natural-crema-de-manos-belle,,category=face/skincare
6414504296106,Suihkusaippua,Berner,face/skincare,FI,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/6414504296106/suihkusaippua-berner,,category=face/skincare
3329310002113,Masque visage purifiant Argile verte,Biocos,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3329310002113/masque-visage-purifiant-argile-verte-biocos,,category=face/skincare
,Bioderma Sensibio H2O,Bioderma,face/skincare,DE|AT|FR|EU,no,no,yes,,,claim,https://www.bioderma.de/unsere-produkte/sensibio/h2o,Claim: 'Unparfümiert',category=face/skincare
3401573670053,Créaline TS H2O Solution micellaire,Bioderma,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3401573670053/crealine-ts-h2o-solution-micellaire-bioderma,,category=face/skincare
3401353688513,Photoderm Bronz SPF 50+,Bioderma,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3401353688513/photoderm-bronz-spf-50-bioderma,,category=face/skincare
3401353688742,Photoderm MAX SPF 50+ Spray très haute protection,Bioderma,other,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3401353688742/photoderm-max-spf-50-spray-tres-haute-protection-bioderma,,name/brand looks face
5017634247843,Anti-boutons,Bioré,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/5017634247843/anti-boutons-biore,,category=face/skincare
5028197417574,Canneberge givrée - lotion scintillante,Body Shop,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417574/canneberge-givree-lotion-scintillante-body-shop,,category=face/skincare
5028197417482,Canneberge givrée beurre corporel,Body Shop,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417482/canneberge-givree-beurre-corporel-body-shop,,category=face/skincare
5028197417871,Canneberge givrée exfoliant au sucre,Body Shop,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/5028197417871/canneberge-givree-exfoliant-au-sucre-body-shop,,category=face/skincare
3052503155104,Air mat la nouvelle matité indétectable - ivoire rosé,Bourjois,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3052503155104/air-mat-la-nouvelle-matite-indetectable-ivoire-rose-bourjois,,category=face/skincare
9313880201001,Loose powder 04 Medium to dark,Bys,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/9313880201001/loose-powder-04-medium-to-dark-bys,,category=face/skincare
3337875597449,CeraVe Hydraterende Gezichtscrème,CeraVe,face/skincare,NL,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3337875597449/facial-moisturising-lotion-cerave,,category=face/skincare
3337875597395,Hydraterende Melk,CeraVe,face/skincare,IE|NL,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3337875597395/moisturising-lotion-cerave,,category=face/skincare
3337875598996,moisturising cream,CeraVe,other,FR|RO,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3337875598996/moisturising-cream-cerave,,name/brand looks face
20231460,Crème solaire enfant FPS50+,Cien,face/skincare,ES|FR|NL,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/20231460/cien-sun,,category=face/skincare
3329310012495,Pâte d'argile,Copar,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3329310012495/pate-d-argile-copar,,category=face/skincare
3257984523521,Les Soins Eau micellaire Peaux Sensibles,Cora,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3257984523521/les-soins-eau-micellaire-peaux-sensibles-cora,,category=face/skincare
0870223028675,Nettoyant Corporel Hydratant Huile de Macadamia,Daily Defense,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0870223028675/nettoyant-corporel-hydratant-huile-de-macadamia-daily-defense,,category=face/skincare
3560070848898,SensilianeSun lait protecteur 50+,Dermato Science,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3560070848898/sensilianesun-lait-protecteur-50-dermato-science,,category=face/skincare
0718334337432,Lotion à la noix de coco,Desert Essence,face/skincare,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/0718334337432/desert-essence-coconut-hand-and-body-lotion,,category=face/skincare
3178040694149,Crème Anti-Rides Nuit Haute Tolérance,Diadermine,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3178040694149/creme-anti-rides-nuit-haute-tolerance-henkel,,category=face/skincare
3178040694156,Lotion micellaire démaquillante Haute Tolérance,Diadermine,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3178040694156/lotion-micellaire-demaquillante-haute-tolerance-henkel,,category=face/skincare
8711700784245,Lait pour le corps Deep Care Complex,Dove,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/8711700784245/lait-pour-le-corps-deep-care-complex-unilever,,category=face/skincare
4020829005037,Crème de jour fluide,Dr. Hauschka,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4020829005037/creme-de-jour-fluide-dr-hauschka,,category=face/skincare
3282770037500,Keracnyl gel moussant visage et corps,Ducray,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3282770037500/keracnyl-gel-moussant-visage-et-corps-ducray,,category=face/skincare
3287570131014,Huile de massage aux huiles essentielles,Durance,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3287570131014/huile-de-massage-aux-huiles-essentielles-durance,,category=face/skincare
09162008,Durex play massage douceur,Durex,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/09162008/durex-play-massage-douceur,,category=face/skincare
3282779178624,Trixéra+,Eau thermale Avène,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3282779178624/trixera-eau-thermale-avene,,category=face/skincare
3517360003314,Nutritive Gel nettoyant surgras,Eau thermale Jonzac,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3517360003314/nutritive-gel-nettoyant-surgras-eau-thermale-jonzac,,category=face/skincare
3517360025750,"Reactive CONTROL, Crème miraculeuse HAUTE TOLERANCE",EAU THERMALE JONZAC,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3517360025750/reactive-control-creme-miraculeuse-haute-tolerance-eau-thermale-jonzac,,category=face/skincare
3517360001419,REhydrate Lait corps réhydratant,Eau thermale Jonzac,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3517360001419/rehydrate-lait-corps-rehydratant-eau-thermale-jonzac,,category=face/skincare
4033981742054,Opalovací krém SPF 15 bio,Eco cosmetics,face/skincare,CZ,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4033981742054/opalovaci-krem-spf-15-bio-eco-cosmetics,,category=face/skincare
3045204804181,Naturals,Ecran Sun,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3045204804181/naturals-ecran-sun,,category=face/skincare
7350113020048,All Glow‘d Up Vegan Sugar Scrub,Estrid,face/skincare,DE|FI|NL|SE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7350113020048/all-glow-d-up-vegan-sugar-scrub-estrid,,category=face/skincare
,Eucerin AtopiControl Beruhigende Gesichtscreme,Eucerin,face/skincare,DE|AT|EU,no,no,yes,,,claim,https://www.eucerin.de/produkte/atopicontrol/beruhigende-gesichtscreme,Claim: frei von Duftstoffen; kein NC-Claim auf Seite gefunden,category=face/skincare
4005800192883,Eucerin DermoPure Cleansing Gel,Eucerin,face/skincare,BE|DE|FR|NL,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/4005800192883/eucerin-dermopure-cleansing-gel,,category=face/skincare
8436008569799,(ohne Namen),Fleurymer,face/skincare,ES,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/8436008569799/fleurymer,,category=face/skincare
3516170022751,Crème mains de Provence Essence d'amande,Florame,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3516170022751/creme-mains-de-provence-essence-d-amande-florame,,category=face/skincare
8470001549990,Fotoprotector ISDIN Gel Cream 30 SPF,Fotoprotector ISDIN,face/skincare,ES,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/8470001549990/fotoprotector-isdin-gel-cream-30-spf,,category=face/skincare
3600542433266,Brightening serum,Garnier,face/skincare,IE,no,yes,no,,cfi,,https://world.openbeautyfacts.org/product/3600542433266/brightening-serum-garnier,OBF-Label crowd-sourced; Siegel vor Launch re-checken,category=face/skincare
3600541729476,Micellar Cleansing Water,Garnier,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600541729476/micellar-cleansing-water-l-oreal,,category=face/skincare
3600541738508,Miracle Wake Up Crème Anti-Âge défatigant,Garnier,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600541738508/miracle-wake-up-creme-anti-age-defatigant-l-oreal,,category=face/skincare
3600530171972,Dream Mat Mousse 48 Beige ensoleillé,Gemey,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600530171972/dream-mat-mousse-48-beige-ensoleille-gemey,,category=face/skincare
3600530523641,Dream Satin Fluide Sable,Gemey Maybelline,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600530523641/dream-satin-fluide-sable-gemey-maybelline,,category=face/skincare
3701154720093,Nettoyant Visage,Horace,unspecified,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3701154720093/nettoyant-visage-horace,,name/brand looks face
0682223020111,Jack Black Protein Booster Eye Rescue,Jack,other,NL,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/0682223020111/jack-black-protein-booster-eye-rescue,,name/brand looks face
4000196031976,Hand & Nagelcreme,Kamill,face/skincare,DE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4000196031976/hand-nagelcreme-kamill,,category=face/skincare
3760171121023,Crème visage anti-âge,Kuomayé Bio,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3760171121023/creme-visage-anti-age-kuomaye-bio,,category=face/skincare
3600523461103,Eau biphase micellaire,L'Oréal,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600523461103/eau-biphase-micellaire-l-oreal,,category=face/skincare
3600522838876,Accord Parfait fond de teint unifiant sur-mesure Lin,L'Oréal Paris,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600522838876/accord-parfait-fond-de-teint-unifiant-sur-mesure-lin-l-oreal,,category=face/skincare
3600522365884,Solution Micellaire,L'Oréal Paris,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600522365884/solution-micellaire-l-oreal,,category=face/skincare
3337872414145,Cicaplast Mains,La Roche Posay,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3337872414145/cicaplast-mains-la-roche-posay,,category=face/skincare
3337872418570,Lipikar Baume AP+,La Roche-Posay,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3337872418570/lipikar-ap-m-triple-repair-moisturizing-cream-la-roche-posay,,category=face/skincare
3266191023595,crème mains aloe vera,la vie claire,face/skincare,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/3266191023595/creme-mains-aloe-vera-la-vie-claire,,category=face/skincare
3506770501008,Crème visage protectrice SPF 50 anti-rides au Monoï de Tahiti,Laboratoires Biocos,face/skincare,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/3506770501008/creme-visage-protectrice-spf-50-anti-rides-au-monoi-de-tahiti-laboratoires-biocos,,category=face/skincare
4021457614134,Baume à lèvres au jojoba bio et à l'amande bio,Lavera,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/4021457614134/baume-a-levres-au-jojoba-bio-et-a-l-amande-bio-lavera,,category=face/skincare
3549620003093,Baume à lèvres à l'huile d'argan anti-âge,Le Petit Olivier,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3549620003093/baume-a-levres-a-l-huile-d-argan-anti-age-le-petit-olivier,,category=face/skincare
3549629000024,Crème mains hydratante Huile d'olive,Le Petit Olivier,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549629000024/creme-mains-hydratante-huile-d-olive-le-petit-olivier,,category=face/skincare
3549620020335,Huile sèche Karité et amande douce,Le Petit Olivier,face/skincare,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3549620020335/huile-seche-karite-et-amande-douce-le-petit-olivier,,category=face/skincare
3331300011968,Ultimate Slim Sérum 100% Actif Cure Cellulite Rebelle,Linéance,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3331300011968/ultimate-slim-serum-100-actif-cure-cellulite-rebelle-lineance,,category=face/skincare
7350069280176,Rosehip oil,Loelle,face/skincare,SE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7350069280176/rosehip-oil-loelle,,category=face/skincare
3506770302001,Spray protecteur hydratant SPF 30 haute protection,Lovea,face/skincare,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/3506770302001/spray-protecteur-hydratant-spf-30-haute-protection-lovea,,category=face/skincare
3517360006162,BB Cream Mon lait d'Ânesse  SPF 10 - 01 beige lumière,Léa Nature,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3517360006162/bb-cream-mon-lait-d-anesse-spf-10-01-beige-lumiere-lea-nature,,category=face/skincare
3517360005998,BB cream texture légère perfecteur de teint - 01 beige nude,Léa Nature,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3517360005998/bb-cream-texture-legere-perfecteur-de-teint-01-beige-nude-lea-nature,,category=face/skincare
3517360008685,Précieux Argan Eau micellaire anti-âge,Léa Nature,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360008685/precieux-argan-eau-micellaire-anti-age-lea-nature,,category=face/skincare
3478821003680,Précieux argan Huile de bain et massage,Léa Nature,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3478821003680/precieux-argan-huile-de-bain-et-massage-lea-nature,,category=face/skincare
8591113028446,Original Home Spa Beer Cosmetics,Manufaktura,face/skincare,CZ,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/8591113028446/original-home-spa-beer-cosmetics-manufaktura,OBF-Label crowd-sourced; Siegel vor Launch re-checken,category=face/skincare
5719806324900,Læbebalsam,Matas,face/skincare,DK,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/5719806324900/laebebalsam-matas,,category=face/skincare
3600530512232,Pure Sun Mineral Bronze Shimmer Powder 02 Soleil Hâlé,Maybelline,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600530512232/pure-sun-mineral-bronze-shimmer-powder-02-soleil-hale-l-oreal,,category=face/skincare
3600530625987,SuperStay 24h fond de teint stretch beige éclat,Maybelline,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600530625987/superstay-24h-fond-de-teint-stretch-beige-eclat-l-oreal,,category=face/skincare
3600550362534,BB Crème Solaire Teinté SPF 50+,Mixa,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3600550362534/bb-creme-solaire-teinte-spf-50-mixa,,category=face/skincare
3600550880687,Crème riche apaisante pro-tolérance,Mixa,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3600550880687/creme-riche-apaisante-pro-tolerance-mixa,,category=face/skincare
3600550538175,Hydratant teinté protecteur anti-imperfections Dermo Defense,Mixa,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3600550538175/hydratant-teinte-protecteur-anti-imperfections-dermo-defense-mixa,,category=face/skincare
3600550199338,Lait corps nutritif protecteur,Mixa,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600550199338/lait-corps-nutritif-protecteur-mixa,,category=face/skincare
3600550216592,Lait Solaire Tolérance Optimale SPF50,Mixa,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600550216592/lait-solaire-tolerance-optimale-spf-50-enfants-et-adulte-peau-sensible-mixa,,category=face/skincare
3600550164008,Soin protecteur regénérant Thé vert + Vigne rouge régénérante,Mixa,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3600550164008/soin-protecteur-regenerant-the-vert-vigne-rouge-regenerante-mixa,,category=face/skincare
4006000128689,2in1 primer daily UV serum SPF 50+,Nivea Sun,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4006000128689/2in1-primer-daily-uv-serum-spf-50-nivea-sun,,category=face/skincare
