ean,name,brand,age_band,profile_slot,eu_countries,flag_fragrance_free,flag_nc,flag_cf,fragrance_basis,nc_basis,cf_basis,not_for_minors,source_url,notes
,CeraVe Ausgleichender Reinigungsschaum,CeraVe,tween_teen,basis_reiniger,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.cerave.de/hautpflege/reinigung-fuer-gesicht-und-koerper/ausgleichender-reinigungsschaum,DE: Nicht komedogen; parfümfrei/ohne Duftstoffe; INCI mit Niacinamid+Salicylsäure
,CeraVe Feuchtigkeitsspendendes HA Water Gel,CeraVe,tween_teen,basis_creme,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.cerave.de/hautpflege/gesichtspflege/feuchtigkeitsspendendes-ha-water-gel,DE: nicht komedogen + ohne Duftstoffe/parfümfrei; laut Seite auch zu Akne neigende Haut
3337875597449,CeraVe Hydraterende Gezichtscrème,CeraVe,tween_teen,basis_creme,NL,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3337875597449/facial-moisturising-lotion-cerave,OBF NC/FF label; EU countries from OBF
3337875597395,Hydraterende Melk,CeraVe,tween_teen,basis_creme,IE;NL,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3337875597395/moisturising-lotion-cerave,OBF NC/FF label; EU countries from OBF
3337875598996,moisturising cream,CeraVe,tween_teen,basis_creme,FR;RO,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3337875598996/moisturising-cream-cerave,OBF NC/FF label; EU countries from OBF
,Cetaphil Feuchtigkeitscreme,Cetaphil,tween_teen,basis_creme,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.cetaphil.de/produktkategorie/feuchtigkeitspflege/feuchtigkeitscreme/1874015.html,DE: Ohne Parfüm + Nicht komedogen; INCI ohne Parfum
,Cetaphil Sanfte Reinigungslotion,Cetaphil,tween_teen,basis_reiniger,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.cetaphil.de/produktkategorie/reinigung/reinigungslotion/7127319.html,DE: duftstofffrei + Nicht komedogen; INCI ohne Parfum; PZN 14136594
,Cetaphil Sanfte Tagespflege mit Hyaluronsäure,Cetaphil,tween_teen,basis_creme,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.cetaphil.de/produktkategorie/feuchtigkeitspflege/tagespflege-mit-hyalurons%C3%A4ure/14136571.html,DE: NC + ohne Duftstoffe
8056386602200,Client Sun LSF 50,Cien,teen_or_ya_unclear,basis_spf,DE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/8056386602200/client-sun-lsf-50-cien,
20283131,Crème de jour anti-rides Q10,Cien,young_adult,basis_creme,FR,no,no,yes,,,cfi,yes,https://world.openbeautyfacts.org/product/20283131/creme-de-jour-anti-rides-q10-cien,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
20434182,Crème de jour anti-âge Gold (Or 1%),Cien,young_adult,basis_creme,FR,no,no,yes,,,cfi,yes,https://world.openbeautyfacts.org/product/20434182/creme-de-jour-anti-age-gold-or-1-cien,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
20231460,Crème solaire enfant FPS50+,Cien,teen_or_ya_unclear,basis_creme,FR;NL;ES,yes,no,yes,obf-label,,cfi,no,https://world.openbeautyfacts.org/product/20231460/cien-sun,
20864781,Eau micellaire sensitive,Cien,teen_or_ya_unclear,basis_reiniger,BG;FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/20864781/eau-micellaire-sensitive-cien,
20864774,Micellar water fresh,Cien,teen_or_ya_unclear,basis_reiniger,BE;FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/20864774/micellar-water-fresh-cien,
20382933,Sonnenmilch classic LSF 30,cien,teen_or_ya_unclear,basis_spf,DE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/20382933/sonnenmilch-classic-lsf-30-cien,
4056489405191,Sonnencreme 50 LSF HOCH,Cien Sun,teen_or_ya_unclear,basis_spf,DE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/4056489405191/sonnencreme-50-lsf-hoch-cien-sun,
4056489617419,Sonnenmilch 50 LSF | Hoch,Cien sun,teen_or_ya_unclear,basis_spf,DE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/4056489617419/sonnenmilch-50-lsf-hoch-cien-sun,
3257984523521,Les Soins Eau micellaire Peaux Sensibles,Cora,teen_or_ya_unclear,basis_reiniger,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3257984523521/les-soins-eau-micellaire-peaux-sensibles-cora,
3560070848898,SensilianeSun lait protecteur 50+,Dermato Science,teen_or_ya_unclear,basis_spf,FR,yes,no,yes,obf-label,,cfi,no,https://world.openbeautyfacts.org/product/3560070848898/sensilianesun-lait-protecteur-50-dermato-science,
3178040694149,Crème Anti-Rides Nuit Haute Tolérance,Diadermine,young_adult,basis_creme,FR,yes,no,no,obf-label,,,yes,https://world.openbeautyfacts.org/product/3178040694149/creme-anti-rides-nuit-haute-tolerance-henkel,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3178040694156,Lotion micellaire démaquillante Haute Tolérance,Diadermine,teen_or_ya_unclear,basis_creme,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3178040694156/lotion-micellaire-demaquillante-haute-tolerance-henkel,
4020829005037,Crème de jour fluide,Dr. Hauschka,teen_or_ya_unclear,basis_creme,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/4020829005037/creme-de-jour-fluide-dr-hauschka,
3282770037500,Keracnyl gel moussant visage et corps,Ducray,teen_or_ya_unclear,akne_reiniger,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3282770037500/keracnyl-gel-moussant-visage-et-corps-ducray,
3517360003314,Nutritive Gel nettoyant surgras,Eau thermale Jonzac,teen_or_ya_unclear,basis_reiniger,FR,yes,yes,no,obf-label,obf-label,,no,https://world.openbeautyfacts.org/product/3517360003314/nutritive-gel-nettoyant-surgras-eau-thermale-jonzac,
3517360025750,"Reactive CONTROL, Crème miraculeuse HAUTE TOLERANCE",EAU THERMALE JONZAC,teen_or_ya_unclear,basis_creme,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3517360025750/reactive-control-creme-miraculeuse-haute-tolerance-eau-thermale-jonzac,
4033981742054,Opalovací krém SPF 15 bio,Eco cosmetics,teen_or_ya_unclear,basis_spf,CZ,no,no,yes,,,obf-label,no,https://world.openbeautyfacts.org/product/4033981742054/opalovaci-krem-spf-15-bio-eco-cosmetics,
4005800192883,Eucerin DermoPure Cleansing Gel,Eucerin,teen_or_ya_unclear,akne_reiniger,BE;FR;DE;NL,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/4005800192883/eucerin-dermopure-cleansing-gel,
,Eucerin DERMOPURE CLINICAL Hydra Repair,Eucerin,teen_or_ya_unclear,akne_creme,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.eucerin.de/produkte/dermopure-clinical/hydra-repair,DE: Nicht komedogen + Ohne Duftstoffe; therapiebegleitend — App≠Therapie
,Eucerin DERMOPURE CLINICAL Klärendes Tonic,Eucerin,teen_or_ya_unclear,akne_active,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.eucerin.de/produkte/dermopure-clinical/klaerendes-tonic,DE Markenseite: NC + ohne Duftstoffe
,Eucerin DERMOPURE CLINICAL Mat Fluid,Eucerin,teen_or_ya_unclear,akne_creme,DE;AT;EU,no,yes,no,,brand-page,,no,https://www.eucerin.de/produkte/dermopure-clinical/mat-fluid,DE: NC; FF nicht bestätigt
,Eucerin DERMOPURE CLINICAL Porenverfeinerndes Reinigungsgel,Eucerin,teen_or_ya_unclear,akne_reiniger,DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.eucerin.de/produkte/dermopure-clinical/porenverfeinerndes-reinigungsgel,DE: BHA/Salicylsäure; Nicht komedogen; frei von Duftstoffen; PZN 19729844
8470001549990,Fotoprotector ISDIN Gel Cream 30 SPF,Fotoprotector ISDIN,teen_or_ya_unclear,basis_spf,ES,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/8470001549990/fotoprotector-isdin-gel-cream-30-spf,
3600542578585,50* Super UV Acide Hyaluronique,Garnier,teen_or_ya_unclear,basis_spf,BE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542578585/50-super-uv-acide-hyaluronique-garnier,
3600542512886,Enfant sensitive expert + Spf 50+,Garnier,teen_or_ya_unclear,basis_spf,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542512886/enfant-sensitive-expert-spf-50-garnier-ambre-solaire,
3600542520263,Enfant sensitive expert + Spf 50+ Spay,Garnier,teen_or_ya_unclear,basis_spf,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542520263/enfant-sensitive-expert-spf-50-spay-l-oreal,
36005426450723600542597821,Garnier PureActive BHA+ Niacinamide SPF50+ Anti-Imperfections Fluid,Garnier,teen_or_ya_unclear,akne_creme,NL,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/36005426450723600542597821/garnier-pureactive-bha-niacinamide-spf50-anti-imperfections-fluid,
3600542663304,Garnier Salicylic Fresh & Matte Hydrating Sorbet Cream,Garnier,teen_or_ya_unclear,basis_creme,NL,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542663304/garnier-salicylic-fresh-matte-hydrating-sorbet-cream,
4084200772901,Hautklar,Garnier,teen_or_ya_unclear,akne_active,DE;IE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/4084200772901/hautklar-l-oreal,
3600542624909,Hydra 24h protect spf 30,Garnier,teen_or_ya_unclear,basis_spf,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542624909/hydra-24h-protect-spf-30-garnier,
3600541729476,Micellar Cleansing Water,Garnier,teen_or_ya_unclear,basis_reiniger,FR,yes,no,yes,obf-label,,cfi,no,https://world.openbeautyfacts.org/product/3600541729476/micellar-cleansing-water-l-oreal,
3600541738508,Miracle Wake Up Crème Anti-Âge défatigant,Garnier,young_adult,basis_creme,FR,no,yes,yes,,obf-label,cfi,yes,https://world.openbeautyfacts.org/product/3600541738508/miracle-wake-up-creme-anti-age-defatigant-l-oreal,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3600541744554,Mizellen,Garnier,teen_or_ya_unclear,basis_reiniger,DE,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600541744554/mizellen-l-oreal,
3215662980011,PureActive Gel nettoyant assainissant,Garnier,teen_or_ya_unclear,akne_reiniger,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3215662980011/pureactive-gel-nettoyant-assainissant-l-oreal,
3600542520454,Sensitive expert + Spf 50+,Garnier,teen_or_ya_unclear,basis_spf,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542520454/sensitive-expert-spf-50-l-oreal,
3600541271814,Sensitive Expert+ - Lait visage & corps FPS 50+ pour peaux sensibles,Garnier,teen_or_ya_unclear,basis_spf,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600541271814/sensitive-expert-lait-visage-corps-fps-50-pour-peaux-sensibles-l-oreal,
3600541594968,Skin Active Solution Micellaire Tout En 1 Peaux Sèches et Sensibles,Garnier,teen_or_ya_unclear,basis_reiniger,FR,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600541594968/skin-active-solution-micellaire-tout-en-1-peaux-seches-et-sensibles-l-oreal,
3600541144019,Skin Naturals Ultra Lift + Sérum Crème Soin anti-rides global 2 en 1,Garnier,young_adult,serum,FR,no,no,yes,,,cfi,yes,https://world.openbeautyfacts.org/product/3600541144019/skin-naturals-ultra-lift-serum-creme-soin-anti-rides-global-2-en-1-l-oreal,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3600542453127,Vitamina C,Garnier,teen_or_ya_unclear,serum,PT,no,no,yes,,,cfi,no,https://world.openbeautyfacts.org/product/3600542453127/vitamina-c-garnier,
3701154720093,Nettoyant Visage,Horace,teen_or_ya_unclear,basis_reiniger,FR,no,no,yes,,,obf-label,no,https://world.openbeautyfacts.org/product/3701154720093/nettoyant-visage-horace,
3760171121023,Crème visage anti-âge,Kuomayé Bio,young_adult,basis_creme,FR,no,no,yes,,,obf-label,yes,https://world.openbeautyfacts.org/product/3760171121023/creme-visage-anti-age-kuomaye-bio,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3600523461103,Eau biphase micellaire,L'Oréal,teen_or_ya_unclear,basis_reiniger,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3600523461103/eau-biphase-micellaire-l-oreal,
3600522365884,Solution Micellaire,L'Oréal Paris,teen_or_ya_unclear,basis_reiniger,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3600522365884/solution-micellaire-l-oreal,
,La Roche-Posay Toleriane Sensitive Crème,La Roche-Posay,tween_teen,basis_creme,FR;DE;AT;EU,yes,yes,no,brand-page,brand-page,,no,https://www.laroche-posay.fr/gammes/visage/toleriane/toleriane-sensitive-creme.-soin-hydratant-apaisant-protecteur/LRP_128.html,FR: Non comédogène + SANS PARFUM (DE-Fetch teils Cloudflare)
3506770501008,Crème visage protectrice SPF 50 anti-rides au Monoï de Tahiti,Laboratoires Biocos,young_adult,basis_spf,FR,yes,no,yes,obf-label,,obf-label,yes,https://world.openbeautyfacts.org/product/3506770501008/creme-visage-protectrice-spf-50-anti-rides-au-monoi-de-tahiti-laboratoires-biocos,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3517360012040,Hydra aloe vera,Lea Nature So' Bio étic,teen_or_ya_unclear,basis_creme,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3517360012040/hydra-aloe-vera-lea-nature-so-bio-etic,
3331300011968,Ultimate Slim Sérum 100% Actif Cure Cellulite Rebelle,Linéance,teen_or_ya_unclear,serum,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3331300011968/ultimate-slim-serum-100-actif-cure-cellulite-rebelle-lineance,
3506770302001,Spray protecteur hydratant SPF 30 haute protection,Lovea,teen_or_ya_unclear,basis_spf,FR,yes,no,yes,obf-label,,obf-label,no,https://world.openbeautyfacts.org/product/3506770302001/spray-protecteur-hydratant-spf-30-haute-protection-lovea,
3517360006162,BB Cream Mon lait d'Ânesse  SPF 10 - 01 beige lumière,Léa Nature,teen_or_ya_unclear,basis_spf,FR,yes,yes,no,obf-label,obf-label,,no,https://world.openbeautyfacts.org/product/3517360006162/bb-cream-mon-lait-d-anesse-spf-10-01-beige-lumiere-lea-nature,
3517360005998,BB cream texture légère perfecteur de teint - 01 beige nude,Léa Nature,teen_or_ya_unclear,basis_creme,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3517360005998/bb-cream-texture-legere-perfecteur-de-teint-01-beige-nude-lea-nature,
3517360008685,Précieux Argan Eau micellaire anti-âge,Léa Nature,young_adult,basis_reiniger,FR,yes,no,no,obf-label,,,yes,https://world.openbeautyfacts.org/product/3517360008685/precieux-argan-eau-micellaire-anti-age-lea-nature,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3600550362534,BB Crème Solaire Teinté SPF 50+,Mixa,teen_or_ya_unclear,basis_spf,FR,yes,yes,no,obf-label,obf-label,,no,https://world.openbeautyfacts.org/product/3600550362534/bb-creme-solaire-teinte-spf-50-mixa,
3600550880687,Crème riche apaisante pro-tolérance,Mixa,teen_or_ya_unclear,basis_creme,FR,yes,yes,no,obf-label,obf-label,,no,https://world.openbeautyfacts.org/product/3600550880687/creme-riche-apaisante-pro-tolerance-mixa,
3600550538175,Hydratant teinté protecteur anti-imperfections Dermo Defense,Mixa,teen_or_ya_unclear,akne_active,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3600550538175/hydratant-teinte-protecteur-anti-imperfections-dermo-defense-mixa,
3361370627073,MB dermo cold crème Saint-Gervais Mont Blanc,Rivadis,teen_or_ya_unclear,basis_creme,FR,yes,yes,no,obf-label,obf-label,,no,https://world.openbeautyfacts.org/product/3361370627073/mb-dermo-cold-creme-saint-gervais-mont-blanc-rivadis,
4066447105957,"Sonnencreme Gel, MED ultra sensitiv, LSF 50+",Sun Dance,teen_or_ya_unclear,basis_spf,DE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/4066447105957/sonnencreme-gel-med-ultra-sensitiv-lsf-50-sun-dance,
4066447106404,Sonnencreme sensitiv LSF 50,Sun Dance,teen_or_ya_unclear,basis_spf,DE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/4066447106404/sonnencreme-sensitiv-lsf-50-sun-dance,
,SVR Sebiaclear Gel Moussant,SVR,tween_teen,akne_reiniger,FR;IE;EU,no,yes,no,,brand-page,,no,https://fr.svr.com/collections/filtres-de-zee/products/sebiaclear-gel-moussant-23,FR/IE Markenseite: Non comédogène; Adults and teenagers; INCI enthält PARFUM/FRAGRANCE → FF=no
5061087560738,Starter retinol serum,The Inkey List,young_adult,serum,NL,yes,no,yes,obf-label,,cfi,yes,https://world.openbeautyfacts.org/product/5061087560738/starter-retinol-serum-the-inkey-list,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag; CFI-Marke; Retinol YA-only
5060879821989,"Vitamin B, C and E moisturizer",The Inkey List,teen_or_ya_unclear,basis_creme,NL,yes,no,yes,obf-label,,cfi,no,https://world.openbeautyfacts.org/product/5060879821989/vitamin-b-c-and-e-moisturizer-the-inkey-list,
3596206332825,Crème au calendula,Weleda,teen_or_ya_unclear,basis_creme,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3596206332825/creme-au-calendula-weleda,
3596200064425,Fluide hydratant 24h,Weleda,teen_or_ya_unclear,basis_creme,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3596200064425/fluide-hydratant-24h-weleda,
3401360192539,Fluide matifiant,Weleda,teen_or_ya_unclear,basis_creme,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3401360192539/fluide-matifiant-weleda,
3596202092938,Iris Crème de jour hydratante,Weleda,teen_or_ya_unclear,basis_creme,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3596202092938/iris-creme-de-jour-hydratante-weleda,
